city,county
Linton upon Ouse,North Yorkshire
North Moreton,Oxfordshire
Boath,Highland
Canwick,Lincolnshire
Clipston,Northamptonshire
Laxton,Northamptonshire
Uckfield,East Sussex
Treffgarne,Pembrokeshire
Achintee,Highland
Shilton,Warwickshire
Worthington,Leicestershire
Whitefarland,North Ayrshire
West Byfleet,Surrey
Skillington,Lincolnshire
Great Waldingfield,Suffolk
Knowsley,Knowsley
Higham,Suffolk
Hackbridge,Sutton
Wrawby,North Lincolnshire
Saint Johns Chapel,Durham
Simpson,Milton Keynes
Pelynt,Cornwall
Great Heck,North Yorkshire
Tydd Saint Mary,Lincolnshire
Monmouth,Monmouthshire
Briston,Norfolk
Llanddewi-Brefi,Ceredigion
Killilan,Highland
Lydden,Kent
Pontefract,Wakefield
Alfreton,Derbyshire
Humbie,East Lothian
West Laroch,Highland
Keoldale,Highland
Whitbeck,Cumbria
Dummer,Hampshire
Heilam,Highland
Cullen,Moray
Eglwys-Brewis,"Vale of Glamorgan, The"
Ringboy,Ards and North Down
Llansantffread,Powys
Sauchie,Clackmannanshire
Bebside,Northumberland
Droitwich,Worcestershire
Sallachan,Highland
Llanfrynach,Powys
Worsley,Salford
Great Clacton,Essex
Eishken,Eilean Siar
Middleton One Row,Darlington
Embleton,Northumberland
Radlett,Hertfordshire
Thixendale,North Yorkshire
Shocklach,Cheshire West and Chester
Bucknell,Oxfordshire
Arboe,Mid Ulster
Merryfield,Devon
Oystermouth,Swansea
Glastonbury,Somerset
Keeran,Fermanagh and Omagh
Creetown,Dumfries and Galloway
Arreton,Isle of Wight
Satterleigh,Devon
Tytherington,Wiltshire
Rosskeen,Highland
Bucklebury,West Berkshire
Killaney,Lisburn and Castlereagh
Great Paxton,Cambridgeshire
Lee,Devon
Holbrook,Derbyshire
Bapchild,Kent
Brook,Hampshire
South Dalton,East Riding of Yorkshire
Hobseat,Aberdeenshire
Frenchay,South Gloucestershire
Cattal,North Yorkshire
Rhoose,"Vale of Glamorgan, The"
Adlingfleet,North Lincolnshire
Crofty,Swansea
Chipping Sodbury,South Gloucestershire
Westfield,East Sussex
Lower Hardres,Kent
Colliston,Angus
East Barming,Kent
Portnacroish,Highland
Lossiemouth,Moray
Leven,Fife
Coates,Gloucestershire
Minchinhampton,Gloucestershire
Kempley,Gloucestershire
Llysworney,"Vale of Glamorgan, The"
Hadd,Shetland Islands
Briton Ferry,Neath Port Talbot
Wysall,Nottinghamshire
Llanishen,Monmouthshire
Little Stretton,Leicestershire
Drimnin,Highland
Shawhead,Dumfries and Galloway
Broughderg,Mid Ulster
Ab Kettleby,Leicestershire
Abbotsford,"Scottish Borders, The"
Brentor,Devon
Parkgate,Cheshire West and Chester
Beckingham,Lincolnshire
Bootle,Sefton
Kilchattan,Argyll and Bute
Chesham,Buckinghamshire
Eredine,Argyll and Bute
Houghton Regis,Central Bedfordshire
Dolton,Devon
Dalchreichart,Highland
Hackness,North Yorkshire
Eversden,Cambridgeshire
Fenton,Stoke-on-Trent
Humbleton,East Riding of Yorkshire
Rippingale,Lincolnshire
Coilacriech,Aberdeenshire
Weybread,Suffolk
South Walsham,Norfolk
Fersfield,Norfolk
Coleby,Lincolnshire
Kilmichael of Inverlussa,Argyll and Bute
Palnackie,Dumfries and Galloway
Iron Acton,South Gloucestershire
Inchnadamph,Highland
Badbea,Highland
Pattingham,Staffordshire
Luxulian,Cornwall
Elloughton,East Riding of Yorkshire
Longnor,Staffordshire
Newbury,West Berkshire
Ashley,Northamptonshire
Pott Shrigley,Cheshire East
Siston,South Gloucestershire
Ladybank,Fife
Stapleford,Wiltshire
Fosbury,Wiltshire
Costessey,Norfolk
Parkmill,Swansea
Aldwincle Saint Peter,Northamptonshire
Glasdrumman,"Newry, Mourne and Down"
Painscastle,Powys
Saxthorpe,Norfolk
Boraston,Shropshire
Newbrough,Northumberland
Stanstead Abbots,Hertfordshire
Kilbrandon,Argyll and Bute
Reeth,North Yorkshire
Compton Martin,Bath and North East Somerset
East Quantoxhead,Somerset
Ellerton,East Riding of Yorkshire
Lasham,Hampshire
Saighton,Cheshire West and Chester
Skeabost,Highland
Lund,East Riding of Yorkshire
Blunsdon Saint Andrew,Swindon
Yoxall,Staffordshire
Newtownhamilton,"Newry, Mourne and Down"
Coedpoeth,Wrexham
Beaghmore,Mid Ulster
Normanton le Heath,Leicestershire
Bakewell,Derbyshire
Waterperry,Oxfordshire
Worlaby,Lincolnshire
Flookburgh,Cumbria
Charmouth,Dorset
East Hatley,Cambridgeshire
Halton West,North Yorkshire
Kilspindie,Perth and Kinross
Brent Pelham,Hertfordshire
Northampton,Northamptonshire
Corbet Milltown,"Armagh, Banbridge and Craigavon"
Bettws Garmon,Gwynedd
Staunton in the Vale,Leicestershire
Linden,Northumberland
Settle,North Yorkshire
Holker,Cumbria
Paull,East Riding of Yorkshire
Whitesides Corner,Mid and East Antrim
Helensburgh,Argyll and Bute
Grovesend,Swansea
Allonby,Cumbria
Achentoul,Highland
Stifford,Thurrock
Trudoxhill,Somerset
Tavistock,Devon
Woolstone,Gloucestershire
Hirnant,Powys
Barton under Needwood,Staffordshire
Potters Bar,Hertfordshire
Bere Regis,Dorset
Sendmarsh,Surrey
Talsarn,Ceredigion
Katesbridge,"Armagh, Banbridge and Craigavon"
Stow Bedon,Norfolk
Conon Bridge,Highland
Cairnryan,Dumfries and Galloway
Beechingstoke,Wiltshire
Chulmleigh,Devon
Pooley Bridge,Cumbria
Carthorpe,North Yorkshire
Gisleham,Suffolk
West Derby,Liverpool
Cymmer,Neath Port Talbot
Jevington,East Sussex
Ashby Saint Ledgers,Northamptonshire
Fiskavaig,Highland
Dursley,Gloucestershire
Norton,Gloucestershire
Cove,Aberdeen City
Woodplumpton,Lancashire
Gretton,Gloucestershire
Llangadwaladr,Isle of Anglesey
Wittenham,Oxfordshire
Helmsdale,Highland
Weston,North Yorkshire
Long Green,Worcestershire
Whitington,Norfolk
Loxbear,Devon
Muker,North Yorkshire
Farewell,Staffordshire
Ledsham,Cheshire West and Chester
Strensham,Worcestershire
Siddington,Gloucestershire
Tullymurry,"Newry, Mourne and Down"
Wolvesnewton,Monmouthshire
Doddiscombsleigh,Devon
Llansilin,Powys
Brasted,Kent
Oxton,North Yorkshire
Stonefield,Argyll and Bute
South Hinksey,Oxfordshire
Mountstuart,Argyll and Bute
Great Gonerby,Lincolnshire
East Ord,Northumberland
Weald,Kent
Sutton on the Forest,North Yorkshire
Whitworth,Lancashire
Hagley,Worcestershire
West Saltoun,East Lothian
Wootton,North Lincolnshire
Saint Monance,Fife
Ballydarrog,Causeway Coast and Glens
Kenmore,Perth and Kinross
Aston,Herefordshire
Halistra,Highland
Ecton,Northamptonshire
Waltham Holy Cross,Essex
Bouthwaite,North Yorkshire
Betws,Bridgend
Feock,Cornwall
Chivenor,Devon
New Radnor,Powys
Merrion,Pembrokeshire
New Mills,Derbyshire
Kershopefoot,Cumbria
Higham,Essex
Egremont,Cumbria
Ballykinler,"Newry, Mourne and Down"
Donnington,Herefordshire
Westbury,Shropshire
Skipton,North Yorkshire
West Dean,Wiltshire
Alton,Hampshire
Farnham,Essex
Dunwich,Suffolk
Akeley,Buckinghamshire
Abingdon,Oxfordshire
Sudbourne,Suffolk
Kinrara,Highland
Sharperton,Northumberland
Melsetter,Orkney Islands
Bargoed,Caerphilly
Locharbriggs,Dumfries and Galloway
Sarnau,Ceredigion
Hornsea,East Riding of Yorkshire
Lydford,Devon
Carsington,Derbyshire
Blackmore,Essex
Hutton,Essex
Tordarroch,Highland
Powick,Worcestershire
Boldon,South Tyneside
Coddenham,Suffolk
Beachampton,Buckinghamshire
Havering atte Bower,Havering
Bilbrough,York
Swyre,Dorset
Bourne,Lincolnshire
Norton Heath,Essex
Shrewley,Warwickshire
Stretham,Cambridgeshire
Saint Kew,Cornwall
Preston on Wye,Herefordshire
Robin Hood,Leeds
Fordwich,Kent
Bridge of Dun,Angus
Southwater,West Sussex
Wealdstone,Brent
Sproatley,East Riding of Yorkshire
Muir of Kinellar,Aberdeenshire
Harborne,Birmingham
Toft Monks,Norfolk
Codford Saint Mary,Wiltshire
Rahony,Fermanagh and Omagh
Shelfanger,Norfolk
Little Bridgeford,Staffordshire
Kirkby Stephen,Cumbria
Rushden,Hertfordshire
Coagh,Mid Ulster
Moreleigh,Devon
Hednesford,Staffordshire
Mount Bures,Essex
Burton on the Wolds,Leicestershire
Royal Leamington Spa,Warwickshire
Exminster,Devon
Myton on Swale,North Yorkshire
Saint Endellion,Cornwall
Belhaven,East Lothian
Cavenham,Suffolk
Penrhos,Gwynedd
Great Gidding,Cambridgeshire
Lindfield,West Sussex
Old Radnor,Powys
Malton,North Yorkshire
Basford,Nottingham
Crosscanonby,Cumbria
Postling,Kent
Rhayader,Powys
Aultbea,Highland
Terrington Saint John,Norfolk
Hardwick,Buckinghamshire
Hutton Bushel,North Yorkshire
Fairford,Gloucestershire
Trowse Newton,Norfolk
Church Pulverbatch,Shropshire
Kirkcambeck,Cumbria
Claxby,Lincolnshire
Randwick,Gloucestershire
West Clandon,Surrey
King's Newton,Derbyshire
Wood Green,Haringey
Glasbury,Powys
Boho,Fermanagh and Omagh
Guildford,Surrey
Maesmynis,Powys
Barholm,Lincolnshire
Great Oakley,Northamptonshire
Plattlane,Shropshire
Inveran,Highland
Kings Worthy,Hampshire
Glenariff,Causeway Coast and Glens
Staverton,Northamptonshire
Turkdean,Gloucestershire
Combrook,Warwickshire
Luccombe,Somerset
Newby Head,North Yorkshire
Tyberton,Herefordshire
Canterbury,Kent
Wormegay,Norfolk
Leamside,Durham
Waddington,Lancashire
Ledston,Leeds
Wath,North Yorkshire
Lambston,Pembrokeshire
Forest Mill,Clackmannanshire
Achriesgill,Highland
Harrold,Bedford
Nunnington,North Yorkshire
Cuxham,Oxfordshire
Haddenham,Cambridgeshire
Saint Ives,Dorset
Cricklewood,Brent
Newton on the Moor,Northumberland
Beighton,Sheffield
Shottisham,Suffolk
Overseal,Leicestershire
Langley,Suffolk
Oxenwood,Wiltshire
Eastleach Martin,Gloucestershire
Swordale,Eilean Siar
Ballyneaner,Derry and Strabane
Little Lever,Bolton
Howell,Lincolnshire
Kirton,Lincolnshire
Clogher,Mid Ulster
Yorton,Shropshire
Llandawke,Carmarthenshire
Syston,Lincolnshire
Wolvey,Warwickshire
Newby Wiske,North Yorkshire
Buchanty,Perth and Kinross
Tough,Aberdeenshire
Hurst Green,Lancashire
Ellenbrook,Salford
Gracehill,Causeway Coast and Glens
Sholden,Kent
Aston Clinton,Buckinghamshire
Balnald,Perth and Kinross
Belchamp Saint Paul,Essex
Balmoral,Belfast
Luton,Devon
Lound,Nottinghamshire
South Hykeham,Lincolnshire
Middleham,North Yorkshire
Saint Marys Hoo,Medway
South Willingham,Lincolnshire
Alexandria,West Dunbartonshire
Hitchin,Hertfordshire
Garton on the Wolds,East Riding of Yorkshire
North Dalton,East Riding of Yorkshire
Meliden,Denbighshire
Gartness,Stirling
Greatworth,Northamptonshire
Beddingham,East Sussex
New Brighton,Wirral
Marloes,Pembrokeshire
Llanfihangel-geneu'r-glyn,Ceredigion
Binham,Norfolk
Aswarby,Lincolnshire
Tremeirchion,Denbighshire
Flixton,Trafford
Bragor,Eilean Siar
Rookley,Isle of Wight
Beelsby,North East Lincolnshire
Timworth,Suffolk
Harmston,Lincolnshire
Hethe,Oxfordshire
Horham,Suffolk
Bethnal Green,Tower Hamlets
Whitley,Coventry
Glenroan,Derry and Strabane
Cumwhinton,Cumbria
Magor,Monmouthshire
Weston Patrick,Hampshire
Lintz Green,Durham
Wilsontown,South Lanarkshire
Bescot,Walsall
East Carleton,Norfolk
Great Ryburgh,Norfolk
Long Sutton,Hampshire
Capel Garmon,Conwy
Llanybri,Carmarthenshire
Birch Vale,Derbyshire
Five Roads,Carmarthenshire
Plympton Erle,Plymouth
Winterslow,Wiltshire
Kington,Worcestershire
Meikle Kinord,Aberdeenshire
Brockhampton,Herefordshire
Broxholme,Lincolnshire
Gwernogle,Carmarthenshire
Little Oakley,Northamptonshire
Felsted,Essex
Aberdulais,Neath Port Talbot
Achnacloich,Argyll and Bute
Manningford Abbots,Wiltshire
Stratfield Saye,Hampshire
Great Massingham,Norfolk
Newstead,Nottinghamshire
Little Stukeley,Cambridgeshire
Balblair,Highland
Boxgrove,West Sussex
South Brewham,Somerset
Hatley Saint George,Cambridgeshire
Flodigarry,Highland
Fawley,Hampshire
Loddon,Norfolk
Hadston,Northumberland
Wyken,Coventry
Ovington,Essex
Dalcross,Highland
Rodwell,Dorset
Cumrew,Cumbria
Headon,Nottinghamshire
Hunmanby,North Yorkshire
Kew Green,Richmond upon Thames
Kingussie,Highland
Old Bolingbroke,Lincolnshire
Ystradowen,"Vale of Glamorgan, The"
Great Washbourne,Gloucestershire
Straid,Causeway Coast and Glens
Billington,Central Bedfordshire
Buildwas,Shropshire
Weston Turville,Buckinghamshire
Gillamoor,North Yorkshire
South Erradale,Highland
Belton,Norfolk
Bradley,Worcestershire
Ham Street,Kent
Halton,Halton
Betchworth,Surrey
Parc Seymour,Newport
Shurdington,Gloucestershire
Fetterangus,Aberdeenshire
North Erradale,Highland
Halsall,Lancashire
Raynes Park,Merton
Crew Lower,Derry and Strabane
Brixworth,Northamptonshire
Aberbargoed,Caerphilly
Askam in Furness,Cumbria
Sunderland,Sunderland
Stokeinteignhead,Devon
Honington,Suffolk
Mildenhall,Wiltshire
Stainton,Middlesbrough
Holwell,Leicestershire
Corsley Heath,Wiltshire
Durrington,Wiltshire
Kylestrome,Highland
Penrice,Swansea
Cardigan,Ceredigion
Blisworth,Northamptonshire
Kingston,Cambridgeshire
Radnage,Buckinghamshire
Long Wittenham,Oxfordshire
Inverlaidnan,Highland
Skipwith,North Yorkshire
Wressell,North Yorkshire
Stonnall,Staffordshire
Scrooby,Nottinghamshire
Whaplode,Lincolnshire
Penpergwm,Monmouthshire
Startforth,Durham
Ampthill,Central Bedfordshire
Cresswell Quay,Pembrokeshire
Antony,Cornwall
Kirkliston,"Edinburgh, City of"
Grittleton,Wiltshire
Leadhills,South Lanarkshire
Brin,Highland
Ulceby,North Lincolnshire
Chacewater,Cornwall
Waldron,East Sussex
Repton,Derbyshire
Adstock,Buckinghamshire
Minster Lovell,Oxfordshire
Upton Bishop,Herefordshire
Renwick,Cumbria
Swinton,Salford
West Barkwith,Lincolnshire
Dunoon,Argyll and Bute
Romansleigh,Devon
Nuneham Courtenay,Oxfordshire
Kingston Saint Mary,Somerset
Clack,Wiltshire
Broadwas,Worcestershire
Bacup,Lancashire
Ibsley,Hampshire
Aldeburgh,Suffolk
Pulborough,West Sussex
New Hedges,Pembrokeshire
Wall Houses,Northumberland
Augher,Mid Ulster
Gillingham,Medway
Croxton Kerrial,Leicestershire
Foston on the Wolds,East Riding of Yorkshire
Weston,Dorset
Kepculloch,Stirling
Newnham,Kent
Burnmouth,"Scottish Borders, The"
Heaton,Lancashire
Brinkworth,Wiltshire
York,York
Hatherop,Gloucestershire
Knaresborough,North Yorkshire
East Horsley,Surrey
Elton,Nottinghamshire
Warmley,South Gloucestershire
Weybridge,Surrey
Grange,Cumbria
Ballycastle,Causeway Coast and Glens
Tormarton,South Gloucestershire
Prestwich,Bury
West Putford,Devon
Taxal,Derbyshire
Uplowman,Devon
Howmore,Eilean Siar
Annaloist,"Armagh, Banbridge and Craigavon"
Trafford Park,Trafford
Withernwick,East Riding of Yorkshire
Peterstone Wentlooge,Newport
Hill of Fearn,Highland
Coulston,Wiltshire
Ballyhornan,"Newry, Mourne and Down"
Frodesley,Shropshire
Llanfair Clydogau,Ceredigion
Sutton in Ashfield,Nottinghamshire
Stathe,Somerset
Llandudno Junction,Conwy
Flushing,Cornwall
Pale,Gwynedd
Yealmpton,Devon
Harbledown,Kent
Thornton,Bradford
Hascombe,Surrey
Holton,Lincolnshire
Nerquis,Flintshire
Gatehouse of Fleet,Dumfries and Galloway
Oldshore Beg,Highland
Ravernet,Lisburn and Castlereagh
Shawforth,Lancashire
Empshott,Hampshire
Kintra,Argyll and Bute
Market Overton,Rutland
Glenurguhart,Highland
Bohenie,Highland
Drumquin,Fermanagh and Omagh
Watchfield,Somerset
Carsebreck,Perth and Kinross
Droylsden,Tameside
Sunningdale,Windsor and Maidenhead
Othery,Somerset
Edgworth,Blackburn with Darwen
Mathon,Herefordshire
Otley,Suffolk
Stapleford Abbots,Essex
Hyssington,Shropshire
North Cadbury,Somerset
Charlton on Otmoor,Oxfordshire
Saint David's,Pembrokeshire
Weston on Avon,Warwickshire
Midlem,"Scottish Borders, The"
Folkton,North Yorkshire
Bryncroes,Gwynedd
Raglan,Monmouthshire
Ide,Devon
Abbotskerswell,Devon
Patrington,East Riding of Yorkshire
Llandygwydd,Pembrokeshire
Lawers,Perth and Kinross
Waverton,Cumbria
Braco,Perth and Kinross
Needham,Norfolk
Struy,Highland
Craskie,Highland
Pemberton,Wigan
Alford,Lincolnshire
Lytchett Minster,Dorset
Ardtalnaig,Perth and Kinross
Mey,Highland
Shropham,Norfolk
Plymstock,Plymouth
Menthorpe,North Yorkshire
Laide,Highland
Blackshiels,Midlothian
Tinsley,Sheffield
Stalybridge,Tameside
Great Bentley,Essex
Sheringham,Norfolk
New Moat,Pembrokeshire
Yelvertoft,Northamptonshire
Lympne,Kent
Cawthorn,North Yorkshire
Abertawe,Swansea
Caldecote,Warwickshire
Nassington,Northamptonshire
Hartington,Staffordshire
Tomcrasky,Highland
Trimdon,Durham
Port Appin,Highland
Clyst Saint Mary,Devon
Walker,Newcastle upon Tyne
Thatcham,West Berkshire
Limavady,Causeway Coast and Glens
Pevensey,East Sussex
Ellington,Northumberland
Notgrove,Gloucestershire
Knockanully,Mid and East Antrim
New Passage,South Gloucestershire
Butleigh,Somerset
Corston,Bath and North East Somerset
Little Houghton,Barnsley
Efenechtyd,Denbighshire
Much Hoole,Lancashire
Eliock,Dumfries and Galloway
Glossop,Derbyshire
The Birches,"Armagh, Banbridge and Craigavon"
Bishops Lydeard,Somerset
Minard,Argyll and Bute
Fremington,Devon
Foxholes,North Yorkshire
Garveston,Norfolk
Broad Haven,Pembrokeshire
Laughton en le Morthen,Rotherham
Crossmaglen,"Newry, Mourne and Down"
Ower,Hampshire
Aylesby,North East Lincolnshire
Evershot,Dorset
Castletown,Dorset
Kidbrooke,Greenwich
Easter Fearn,Highland
Goodmanham,East Riding of Yorkshire
Kirkby Moorside,North Yorkshire
Denton,East Sussex
Collins Green,Warrington
Wallis,Pembrokeshire
Oragaig,Argyll and Bute
Kelty,Fife
Thurton,Norfolk
Edinbain,Highland
Northwold,Norfolk
Eastbury,West Berkshire
Audlem,Cheshire East
Airton,North Yorkshire
Ederny,Fermanagh and Omagh
Hockham,Norfolk
Robertsbridge,East Sussex
Auchtermuchty,Fife
Kilmaluag,Highland
Pewsey,Wiltshire
Aldbrough,East Riding of Yorkshire
Burton Overy,Leicestershire
Tatenhill,Staffordshire
Laggan,Highland
Llanover,Monmouthshire
North Chapel,West Sussex
Killean,Argyll and Bute
Covington,Cambridgeshire
Church Eaton,Staffordshire
Greenloaning,Perth and Kinross
Wear Head,Durham
Invergelder,Aberdeenshire
Clare,"Armagh, Banbridge and Craigavon"
Glenfield,Leicestershire
Tytherington,South Gloucestershire
Admaston,Telford and Wrekin
Arlesey,Central Bedfordshire
Wells of Ythan,Aberdeenshire
Cullion,Derry and Strabane
Aviemore,Highland
Alderford,Norfolk
Dunmore,Mid Ulster
Meshaw,Devon
Crosswell,Pembrokeshire
Hampsthwaite,North Yorkshire
Wappenham,Northamptonshire
West Stonesdale,North Yorkshire
